"id_dpto","dpto","mae.to","mae.from"
5,"ANTIOQUIA",15.79276812,11.46396999
81,"ARAUCA",14.06578449,14.32353208
88,"ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA",6.630610391,4.619856421
8,"ATLANTICO",23.08781699,19.77153243
15,"BOYACA",NA,82.54695504
17,"CALDAS",49.32383672,42.64308172
18,"CAQUETA",63.26156876,48.84129319
85,"CASANARE",84.11529395,67.05457568
19,"CAUCA",8.774825,9.108957984
20,"CESAR",21.44463542,21.09111521
27,"CHOCO",16.94757429,13.52910729
23,"CORDOBA",57.91441513,45.90969703
94,"GUAINIA",NA,4.881404762
95,"GUAVIARE",69.49959209,58.94839188
41,"HUILA",29.08583551,24.47900888
47,"MAGDALENA",7.163901235,7.7959511
50,"META",6.4634,6.563440954
52,"NARIÃ‘O",24.25863158,16.83944897
66,"RISARALDA",NA,14.39819351
11,"SANTAFE DE BOGOTA D.C",NA,86.30774456
68,"SANTANDER",19.01183119,20.630981
70,"SUCRE",16.04555983,15.34010914
73,"TOLIMA",83.08971283,67.5501607
76,"VALLE DEL CAUCA",15.31608943,11.20431633
97,"VAUPES",2.660638098,1.722322512
